cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.26239895820617676,1.0251998901367188e-05,1.430511474609375e-06,0.27427005767822266,1.1920928955078125e-06,0.5930979251861572,latency_loss,0.665,0.665,0.665,6
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.2611391544342041,6.67572021484375e-06,1.1920928955078125e-06,0.33217549324035645,1.1920928955078125e-06,0.6485021114349365,latency_loss,0.715,0.715,0.715,7
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.24432611465454102,5.245208740234375e-06,1.1920928955078125e-06,0.2677304744720459,9.5367431640625e-07,0.5774581432342529,latency_loss,0.611,0.611,0.611,8
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.2500185966491699,7.3909759521484375e-06,1.430511474609375e-06,0.3022336959838867,9.5367431640625e-07,0.6089010238647461,latency_loss,0.641,0.641,0.641,9
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.26136255264282227,6.198883056640625e-06,7.152557373046875e-07,0.2359001636505127,9.5367431640625e-07,0.5572421550750732,latency_loss,0.579,0.579,0.579,0
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.26379919052124023,6.4373016357421875e-06,1.430511474609375e-06,0.24173879623413086,9.5367431640625e-07,0.5659351348876953,latency_loss,0.588,0.588,0.588,1
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.22714018821716309,1.3113021850585938e-05,1.1920928955078125e-06,0.2641441822052002,7.152557373046875e-07,0.5557923316955566,latency_loss,0.623,0.623,0.623,2
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2161860466003418,6.9141387939453125e-06,1.1920928955078125e-06,0.26831603050231934,1.9073486328125e-06,0.547692060470581,latency_loss,0.607,0.607,0.607,3
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2262561321258545,5.4836273193359375e-06,2.1457672119140625e-06,0.27109837532043457,9.5367431640625e-07,0.5566866397857666,latency_loss,0.617,0.617,0.617,4
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.27312350273132324,1.2636184692382812e-05,9.5367431640625e-07,0.2928285598754883,1.9073486328125e-06,0.6171624660491943,latency_loss,0.645,0.645,0.645,5
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2668113708496094,7.152557373046875e-06,7.152557373046875e-07,0.2743980884552002,1.1920928955078125e-06,0.6079785823822021,latency_loss,0.642,0.642,0.642,6
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.22081470489501953,7.3909759521484375e-06,9.5367431640625e-07,0.2820751667022705,9.5367431640625e-07,0.5569961071014404,latency_loss,0.579,0.579,0.579,7
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.21529364585876465,5.4836273193359375e-06,7.152557373046875e-07,0.29196596145629883,9.5367431640625e-07,0.5681920051574707,latency_loss,0.643,0.643,0.643,8
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,1.0,0.2820885181427002,6.67572021484375e-06,1.430511474609375e-06,0.2771110534667969,9.5367431640625e-07,0.6160194873809814,latency_loss,0.685,0.685,0.685,9
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.21474719047546387,1.9550323486328125e-05,1.1920928955078125e-06,0.2788550853729248,1.6689300537109375e-06,0.5481922626495361,latency_loss,0.634,0.634,0.634,0
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.27368617057800293,7.3909759521484375e-06,7.152557373046875e-07,0.2569456100463867,9.5367431640625e-07,0.6006667613983154,latency_loss,0.629,0.629,0.629,1
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.25966835021972656,1.0728836059570312e-05,4.76837158203125e-07,0.3102083206176758,9.5367431640625e-07,0.6295316219329834,latency_loss,0.712,0.712,0.712,2
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.27518343925476074,5.245208740234375e-06,7.152557373046875e-07,0.2985095977783203,1.9073486328125e-06,0.6321194171905518,latency_loss,0.665,0.665,0.665,3
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.23937058448791504,1.3113021850585938e-05,4.76837158203125e-07,0.2771470546722412,2.1457672119140625e-06,0.5793123245239258,latency_loss,0.611,0.611,0.611,4
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.2650485038757324,1.0013580322265625e-05,7.152557373046875e-07,0.34951066970825195,1.430511474609375e-06,0.6780028343200684,latency_loss,0.703,0.703,0.703,5
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.2700021266937256,7.152557373046875e-06,7.152557373046875e-07,0.32773566246032715,9.5367431640625e-07,0.6596376895904541,latency_loss,0.691,0.691,0.691,6
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.2606830596923828,5.7220458984375e-06,4.76837158203125e-07,0.2776370048522949,7.152557373046875e-07,0.5981535911560059,latency_loss,0.626,0.626,0.626,7
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.2122354507446289,6.9141387939453125e-06,7.152557373046875e-07,0.28896260261535645,3.337860107421875e-06,0.5587084293365479,latency_loss,0.622,0.622,0.622,8
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,1.0,0.25786304473876953,1.2636184692382812e-05,7.152557373046875e-07,0.3178098201751709,1.1920928955078125e-06,0.639197826385498,latency_loss,0.671,0.671,0.671,9
1,1,1Gi,1.0,1.0,1.0,0.4,1.0,1.0,0.2260279655456543,6.198883056640625e-06,7.152557373046875e-07,0.3381025791168213,7.152557373046875e-07,0.6290271282196045,latency_loss,0.671,0.671,0.671,0
1,1,1Gi,1.0,1.0,1.0,0.4,1.0,1.0,0.27552008628845215,1.3113021850585938e-05,4.76837158203125e-07,0.32921481132507324,1.1920928955078125e-06,0.6739864349365234,latency_loss,0.701,0.701,0.701,1
