cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.7,0.7,0.7,0.2366037368774414,1.71661376953125e-05,0.2710542678833008,2.6226043701171875e-06,latency_loss,0.578,0.578,0.42635557651519773,4
1,1,1Gi,1.0,0.7,0.7,0.4,0.23279166221618652,1.7404556274414062e-05,0.28093600273132324,3.337860107421875e-06,latency_loss,0.579,0.579,0.42946038246154783,0
1,1,1Gi,1.0,0.7,0.7,0.4,0.2393779754638672,1.3828277587890625e-05,0.26935720443725586,2.1457672119140625e-06,latency_loss,0.621,0.621,0.42793855667114256,1
1,1,1Gi,1.0,0.7,0.7,0.4,0.2368302345275879,1.430511474609375e-05,0.2696077823638916,2.86102294921875e-06,latency_loss,0.586,0.586,0.42556684017181395,2
1,1,1Gi,1.0,0.7,0.7,0.4,0.2596461772918701,1.5497207641601562e-05,0.28055238723754883,2.6226043701171875e-06,latency_loss,0.651,0.651,0.4560447454452514,3
1,1,1Gi,1.0,0.7,0.7,0.4,0.23874258995056152,1.1205673217773438e-05,0.2849690914154053,3.337860107421875e-06,latency_loss,0.651,0.651,0.4382301330566406,4
1,1,1Gi,1.0,0.7,0.7,0.1,0.24182868003845215,1.5974044799804688e-05,0.2861199378967285,1.430511474609375e-06,latency_loss,0.603,0.603,0.44212396144866944,0
1,1,1Gi,1.0,0.7,0.7,0.1,0.23680901527404785,1.0251998901367188e-05,0.27059292793273926,1.9073486328125e-06,latency_loss,0.578,0.578,0.42623143196105956,1
1,1,1Gi,1.0,0.7,0.7,0.1,0.23457121849060059,1.52587890625e-05,0.27690744400024414,2.6226043701171875e-06,latency_loss,0.634,0.634,0.4284173727035523,2
1,1,1Gi,1.0,0.7,0.7,0.1,0.24717450141906738,2.1457672119140625e-05,0.2767908573150635,1.6689300537109375e-06,latency_loss,0.608,0.608,0.4409432888031006,3
